perc,tmean
1.0%,19.3452257948343
2.0%,19.9158648823662
2.5%,20.2391779113248
3.0%,20.5226164096941
4.0%,20.914269708933
5.0%,21.17010634024
6.0%,21.494454551407
7.0%,21.6763489901303
8.0%,21.9037829857978
9.0%,22.01688239599
10.0%,22.2111108873144
11.0%,22.3805763801476
12.0%,22.6060408888889
13.0%,22.7565443258378
14.0%,22.8799578235653
15.0%,23.045145015093
16.0%,23.1957065127562
17.0%,23.3672927501624
18.0%,23.4678353842941
19.0%,23.545458355888
20.0%,23.6661035874944
21.0%,23.7874398491742
22.0%,23.8754606031746
23.0%,23.976873958079
24.0%,24.0671646039211
25.0%,24.1391159778453
26.0%,24.2224735721248
27.0%,24.2995982388664
28.0%,24.4025993076923
29.0%,24.4773619615385
30.0%,24.546251411381
31.0%,24.6075937147559
32.0%,24.6749100676329
33.0%,24.7485888463936
34.0%,24.8343022436647
35.0%,24.9220904761905
36.0%,24.9835158818342
37.0%,25.0607593012821
38.0%,25.1259029188034
39.0%,25.1738117529936
40.0%,25.2500128469322
41.0%,25.3058898949275
42.0%,25.360115965812
43.0%,25.4414510676638
44.0%,25.4851074611529
45.0%,25.5462498550061
46.0%,25.6039780906433
47.0%,25.6534686425376
48.0%,25.7005484262508
49.0%,25.7460359896036
50.0%,25.8120173007548
51.0%,25.8406183131868
52.0%,25.8754846143136
53.0%,25.9116687521368
54.0%,25.9502852286164
55.0%,26.0096849666537
56.0%,26.0486751267057
57.0%,26.0902754679487
58.0%,26.1412641779287
59.0%,26.1971366560045
60.0%,26.252892376759
61.0%,26.2925987137384
62.0%,26.3408917759648
63.0%,26.3960949066503
64.0%,26.4500282763533
65.0%,26.498543205084
66.0%,26.5435912292465
67.0%,26.5966868147773
68.0%,26.6666442938971
69.0%,26.7022203796975
70.0%,26.7539484555406
71.0%,26.7940220378733
72.0%,26.8375292755393
73.0%,26.8770216774892
74.0%,26.9318272435898
75.0%,26.9761847674742
76.0%,27.0273514389178
77.0%,27.0644953425926
78.0%,27.1153384639126
79.0%,27.1656167799145
80.0%,27.2169274296853
81.0%,27.2730584251119
82.0%,27.3326805449521
83.0%,27.37944452536
84.0%,27.4340609941521
85.0%,27.498247228836
86.0%,27.5480336481481
87.0%,27.5985738187135
88.0%,27.6563950022492
89.0%,27.7201110883869
90.0%,27.8037229847054
91.0%,27.8991662972335
92.0%,28.0005778383994
93.0%,28.0842026538033
94.0%,28.1869987759284
95.0%,28.2917382929571
96.0%,28.3984843650794
97.0%,28.5671849926901
97.5%,28.6620604682586
98.0%,28.7301585396825
99.0%,29.0409557307692
100.0%,29.6750777777778
